Rat_ID,Litter,From Kathryn or not  (Kathryn may not have culled on P1),Cage (pair-housed_ if uneven last three together),Generation,Line,"Treatment_group (EC=Enriched Cage Control, EE=Environmental Enrichment, NIL=Standard Housing, SD=Social Defeat)",Enrichment,Social_Defeat,distance_open_field ,time_centre_open_field,time_open_arms_EPM,time_social_avoidance_Ethovision,time_social_interaction_EthoVision,time_other_areas_in_SI_Test_EthoVision,time_on_top_of_stimulus_animal_Ethovision,time_on_top_of_stimulus_animal_Video,time_approaching_stimulus_animal_Video,time_other_behav_in_SI_Test_Video,cranky_USVs,happy_USVs,SD Dates,D1 Aggressor ID,SD d1 score,SD d1 time caged (min),D2 Aggressor ID,SD d2 score,SD d2 time caged (min),D3 Aggressor ID,SD d3 score,SD d3 time caged (min),D4 Aggressor ID,SD d4 score,SD d4 time caged (min),SUB_DefeatDay1,AGG_DefeatDay1,OTHER_DefeatDay1,SUB_DefeatDay2,AGG_DefeatDay2,OTHER_DefeatDay2,SUB_DefeatDay3,AGG_DefeatDay3,OTHER_DefeatDay3,SUB_DefeatDay4,AGG_DefeatDay4,OTHER_DefeatDay4,date_of_sac,CORT,testosterone,Oxytocin (pg/ml),IL-6 (pg/ml),date_of_dissection,hemisphere_dissected,date_of_RNA_extraction,RNA_conc,ratio_260_280,brain_region,Sequencing_core_sample_ID
H01-2 A1,H01-2,N,H01-2A,F49,bHR,HR EE,EE,NIL,6192.445596,11.90565777,35.25276229,13.18607788,60.14056218,26.67335994,1.840696959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,
H01-2 A2,H01-2,N,H01-2A,F49,bHR,HR EE,EE,NIL,7404.505896,11.06997818,33.98058277,8.436558038,62.80549041,28.75795156,1.773761952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,
H01-2 B1,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,7609.405134,8.575520021,47.5058582,14.26180131,51.28891937,34.44927933,1.841312525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,
H01-2 B2,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,5281.272275,0.868356767,41.81452943,7.967860815,58.68764584,33.34449335,2.041498634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,
H01-2 C1,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,5704.066804,5.608455727,37.81793785,15.52878304,46.9544853,37.51673166,2.075661471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,
H02-1 C2,H02-1,N,H02-1A,F49,bHR,HR EE,EE,NIL,5944.970665,5.416064985,36.82624649,7.766989908,54.26849691,37.96451318,1.740294115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,
H02-2 A1,H02-2,N,H02-2A,F49,bHR,HR NIL + SD,NIL,SD,5059.774146,5.083528066,2.643908675,13.32440619,55.5406771,31.13491671,1.941098799,,,,,,2/1-5/1 2016,19,4,0.50,11,4,5.50,6,4,1.08,15,2,15.00,9.375,21.875,68.75,1.709401709,2.564102564,95.72649573,18.34862385,19.26605505,62.3853211,,,,9-Jan-16,,,,,,,,,,,
H02-2 A2,H02-2,N,H02-2A,F49,bHR,HR NIL + SD,NIL,SD,5548.170978,5.58845713,20.95748261,14.16136619,50.38500129,35.45363252,2.276532044,,,,,,2/1-5/1 2016,18,2,15.00,10,2,15.00,5,4,1.00,14,4,12.50,0.459770115,0.689655172,98.85057471,0.257069409,7.455012853,92.28791774,8.333333333,10.18518519,81.48148148,,,,9-Jan-16,,,,,,,,,,,
H02-2 B1,H02-2,N,H02-2B,F49,bHR,HR NIL + SD,NIL,SD,5506.088189,4.928280646,17.30833626,13.82195308,46.92101813,39.25702879,2.644794147,,,,,,2/1-5/1 2016,15,4,3.70,8,4,3.35,19,4,0.45,11,4,5.88,7.120743034,24.14860681,68.73065015,2.762430939,28.72928177,68.50828729,12.5,20.83333333,66.66666667,,,,9-Jan-16,,,,,,,,,,,
H02-2 B2,H02-2,N,H02-2B,F49,bHR,HR NIL + SD,NIL,SD,5861.100698,6.056186082,23.80314666,10.97724173,52.4096395,36.61311877,2.042182763,,,,,,2/1-5/1 2016,14,4,1.88,7,4,4.83,18,4,4.15,19,4,3.33,20.98765432,6.172839506,72.83950617,8.467741935,2.822580645,88.70967742,16.18037135,0.530503979,83.28912467,,,,9-Jan-16,,,,,,,,,,,
H03A1,H03,N,H03A,F56,bHR,HR EE,EE,NIL,5152.23918,4.63767195,19.59865818,8.383495487,64.52606548,27.09043903,26.87849711,32.31,28.62,39.06,15.48412387,21.87377499,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,196300,544.2,,41.36,16/1/2019,right,,,,,
H03A2,H03,N,H03A,F56,bHR,HR EE,EE,NIL,6459.5234,4.916403844,40.60207962,6.644381047,68.0378064,25.31781255,21.23574602,24.16,38.58,37.27,9.016393443,23.38797814,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,55940,538.2,,30.04,16/1/2019,left,,,,,
H03A3,H03,N,H03A,F56,bHR,HR EE,EE,NIL,7369.44648,1.583056017,9.910801781,4.983294147,75.86397188,19.15273397,37.41375332,42.96,30.24,26.8,3.964365256,59.51002227,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,129700,727.15,,32.7,16/1/2019,left,,,,,
