Rat_ID,Litter,From Kathryn or not  (Kathryn may not have culled on P1),Cage (pair-housed_ if uneven last three together),Generation,Line,"Treatment_group (EC=Enriched Cage Control, EE=Environmental Enrichment, NIL=Standard Housing, SD=Social Defeat)",Enrichment,Social_Defeat,distance_open_field ,time_centre_open_field,time_open_arms_EPM,time_social_avoidance_Ethovision,time_social_interaction_EthoVision,time_other_areas_in_SI_Test_EthoVision,time_on_top_of_stimulus_animal_Ethovision,time_on_top_of_stimulus_animal_Video,time_approaching_stimulus_animal_Video,time_other_behav_in_SI_Test_Video,cranky_USVs,happy_USVs,SD Dates,D1 Aggressor ID,SD d1 score,SD d1 time caged (min),D2 Aggressor ID,SD d2 score,SD d2 time caged (min),D3 Aggressor ID,SD d3 score,SD d3 time caged (min),D4 Aggressor ID,SD d4 score,SD d4 time caged (min),SUB_DefeatDay1,AGG_DefeatDay1,OTHER_DefeatDay1,SUB_DefeatDay2,AGG_DefeatDay2,OTHER_DefeatDay2,SUB_DefeatDay3,AGG_DefeatDay3,OTHER_DefeatDay3,SUB_DefeatDay4,AGG_DefeatDay4,OTHER_DefeatDay4,date_of_sac,CORT,testosterone,Oxytocin (pg/ml),IL-6 (pg/ml),NACC_date_of_dissection,NACC_hemisphere_dissected,NACC_date_of_RNA_extraction,NACC_RNA_conc,NACC_ratio_260_280,NACC_brain_region,NACC_Sequencing_core_sample_ID,HC_date_of_dissection,HC_hemisphere_dissected,HC_date_of_RNA_extraction,HC_RNA_conc,HC_ratio_260_280,HC_brain_region,HC_Sequencing_core_sample_ID,OF_Distance_Start-0:01:00,OF_Distance_0:01:00-0:02:00,OF_Distance_0:02:00-0:03:00,OF_Distance_0:03:00-0:04:00,OF_Distance_0:04:00-0:05:00,OF_PercentTimeInCenter_Start-0:01:00,OF_PercentTimeInCenter_0:01:00-0:02:00,OF_PercentTimeInCenter_0:02:00-0:03:00,OF_PercentTimeInCenter_0:03:00-0:04:00,OF_PercentTimeInCenter_0:04:00-0:05:00,Number of calls/noises detected,Number of 18 - 32 kHz,Number of 32 - 96 kHz,average max peak frequency,average duration of 18 - 32 kHz,average duration of 32 - 96 kHz,number of calls 18 - 96 kHz,% 18-32 kHz over total recorded calls/noises,% 32-96 kHz calls over total recorded calls/noises,Cranky USVs_% 18-32 kHz over 18-96 kHz calls,Happy USVs_% 32-96 kHz calls over 18-96 kHz calls
H01-2 A1,H01-2,N,H01-2A,F49,bHR,HR EE,EE,NIL,4357.94,7.579734928,35.25276229,13.18607788,60.14056218,26.67335994,1.840696959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,1035.87,1092.77,1127.27,1047.46,1090.44,4.337666667,8.508516667,5.171833333,8.508516667,8.130073047,,,,,,,,,,,
H01-2 A2,H01-2,N,H01-2A,F49,bHR,HR EE,EE,NIL,5411,6.730936595,33.98058277,8.436558038,62.80549041,28.75795156,1.773761952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,951.803,1465.48,1342.51,1436.87,1166.14,7.007,8.174833333,7.173833333,7.340666667,4.234413045,,,,,,,,,,,
H01-2 B1,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,5473.99,5.670964707,47.5058582,14.26180131,51.28891937,34.44927933,1.841312525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,942.894,1244.34,1596.71,1071.42,1561.52,6.673333333,0.5005,8.842166667,3.670333333,9.670858828,,,,,,,,,,,
H01-2 B2,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,3321.902,0,41.81452943,7.967860815,58.68764584,33.34449335,2.041498634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,1039.92,794.663,873.726,802.831,850.682,1.668333333,0,0,0,0,,,,,,,,,,,
H01-2 C1,H01-2,N,H01-2B,F49,bHR,HR EE,EE,NIL,3692.149,3.044708333,37.81793785,15.52878304,46.9544853,37.51673166,2.075661471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,841.061,1081.93,792.745,953.822,863.652,8.842183333,0,4.838166667,7.340666667,0,,,,,,,,,,,
H02-1 C2,H02-1,N,H02-1A,F49,bHR,HR EE,EE,NIL,4180.87,3.091664171,36.82624649,7.766989908,54.26849691,37.96451318,1.740294115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,914.963,1015.26,1024.4,1014.11,1127.1,0.667333333,5.171833333,0.5005,2.105612864,4.588710485,,,,,,,,,,,
H02-2 A1,H02-2,N,H02-2A,F49,bHR,HR NIL + SD,NIL,SD,3213.052,1.876875,2.643908675,13.32440619,55.5406771,31.13491671,1.941098799,,,,,,2/1-5/1 2016,19,4,0.5,11,4,5.5,6,4,1.08,15,2,15,9.375,21.875,68.75,1.709401709,2.564102564,95.72649573,18.34862385,19.26605505,62.3853211,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,771.525,821.362,718.311,875.333,798.046,2.002,0,2.002,0,5.5055,,,,,,,,,,,
H02-2 A2,H02-2,N,H02-2A,F49,bHR,HR NIL + SD,NIL,SD,4039.522,1.893151132,20.95748261,14.16136619,50.38500129,35.45363252,2.276532044,,,,,,2/1-5/1 2016,18,2,15,10,2,15,5,4,1,14,4,12.5,0.459770115,0.689655172,98.85057471,0.257069409,7.455012853,92.28791774,8.333333333,10.18518519,81.48148148,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,921.293,930.309,950.433,1133.62,1025.16,7.340666667,2.5025,0,3.90226953,1.167835,,,,,,,,,,,
H02-2 B1,H02-2,N,H02-2B,F49,bHR,HR NIL + SD,NIL,SD,3763.635,3.619468098,17.30833626,13.82195308,46.92101813,39.25702879,2.644794147,,,,,,2/1-5/1 2016,15,4,3.7,8,4,3.35,19,4,0.45,11,4,5.88,7.120743034,24.14860681,68.73065015,2.762430939,28.72928177,68.50828729,12.5,20.83333333,66.66666667,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,765.737,872.395,940.554,1074.6,876.086,1.334668333,4.170833333,0,7.80453906,2.5025,,,,,,,,,,,
H02-2 B2,H02-2,N,H02-2B,F49,bHR,HR NIL + SD,NIL,SD,4071.85,15.89602433,23.80314666,10.97724173,52.4096395,36.61311877,2.042182763,,,,,,2/1-5/1 2016,14,4,1.88,7,4,4.83,18,4,4.15,19,4,3.33,20.98765432,6.172839506,72.83950617,8.467741935,2.822580645,88.70967742,16.18037135,0.530503979,83.28912467,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,903.169,1080.53,1014.71,1135.39,841.22,0,3.670333333,5.005,4.241597315,50.66716667,,,,,,,,,,,
H03A1,H03,N,H03A,F56,bHR,HR EE,EE,NIL,4146.653966,3.031984211,19.59865818,8.383495487,64.52606548,27.09043903,26.87849711,32.31,28.62,39.06,41.44805876,58.55194124,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,196300,544.2,,41.36,16/1/2019,right,,,,,,,,,,,,,592.3762069,1062.161897,1237.660345,893.457069,953.3746552,11.16755,1.44343,2.555533333,7.055483333,1.073490177,2551,395,558,24694.35515,0.003827089,0.005534588,953,15.48412387,21.87377499,41.44805876,58.55194124
H03A2,H03,N,H03A,F56,bHR,HR EE,EE,NIL,4783.276207,4.505986421,40.60207962,6.644381047,68.0378064,25.31781255,21.23574602,24.16,38.58,37.27,27.82462057,72.17537943,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,55940,538.2,,30.04,16/1/2019,left,,,,,,,,,,,,,936.6108621,1054.53069,1115.88569,1425.018966,1187.840862,6.72215,4.835283333,1.22021,0.55555,11.41290235,1830,165,428,25066.61202,0.003064242,0.012739252,593,9.016393443,23.38797814,27.82462057,72.17537943
H03A3,H03,N,H03A,F56,bHR,HR EE,EE,NIL,6008.981034,0.904658133,9.910801781,4.983294147,75.86397188,19.15273397,37.41375332,42.96,30.24,26.8,6.245614035,93.75438596,,,,,,,,,,,,,,,,,,,,,,,,,,25-Oct-17,129700,727.15,,32.7,16/1/2019,left,,,,,,,,,,,,,1030.145345,1490.722414,1693.915517,1284.741379,1539.601724,4.333283333,0.055555,2.944416667,0.166665,0.451995864,2245,89,1336,41458.53007,0.003653933,0.006911003,1425,3.964365256,59.51002227,6.245614035,93.75438596
H03B1,H03,N,H03B,F56,bHR,HR EE + SD,EE,SD,2921.676897,2.703666056,1.850613886,12.57524323,42.18503865,45.23971812,6.577490744,6.34,34.94,58.72,5.625,94.375,18 - 21 Oct 2017,1,4,0.67,11,4,1.5,9,5,2,2A,4,10,11.46,5.38,83.16,41.97,6.19,51.84,0,17.66,82.34,16.97,0.79,82.24,25-Oct-17,214900,510.95,75.96,31.61,16/1/2019,right,,,,,,,,,,,,,701.0524138,654.6218966,794.8451724,725.9518966,746.257931,0.499995,5.222166667,0,0.055555,5.536942556,394,9,151,27894.92386,0.003033333,0.003788079,160,2.284263959,38.3248731,5.625,94.375
H03B2,H03,N,H03B,F56,bHR,HR EE + SD,EE,SD,5770.775862,4.284821123,9.676685719,5.607581347,65.00566895,29.3867497,11.96209327,19.45,40.18,40.38,38.10679612,61.89320388,18 - 21 Oct 2017,4,5,0.25,19,4,0.33,8,5,0.5,18,4,2.17,0,13.84,86.16,16.62,9.43,73.95,0,18,82,56.1,9.28,34.62,25-Oct-17,249300,135.5,71.89,95.9,16/1/2019,left,,,,,,,,,,,,,1355.368966,1610.446552,1310.412069,1432.77931,1417.137931,6.555483333,3.055533333,7.944366667,4.4444,1.694984491,1557,314,510,27620.03854,0.002730233,0.004084314,824,20.1669878,32.75529865,38.10679612,61.89320388
H03B3,H03,N,H03B,F56,bHR,HR EE + SD,EE,SD,5468.147759,0.508496195,15.02787653,7.759208286,69.50939307,22.73139864,18.90748068,24.88,39.47,35.65,6.426553672,93.57344633,18 - 21 Oct 2017,6,4,2.83,20,4,0.33,7,5,0.33,14,4,0.75,2.56,2.05,95.39,0,10.23,89.77,0,25.98,74.02,40.01,0,59.99,25-Oct-17,209700,980.95,35.49,59.84,16/1/2019,right,,,,,,,,,,,,,1016.425345,1109.971897,1266.312069,1463.374138,1628.489655,2.499966667,0,0,0,2.033984779,2564,91,1325,38094.85179,0.002278022,0.008161509,1416,3.549141966,51.67706708,6.426553672,93.57344633
H05 A1,H05,N,H05A,F49,bHR,HR EC,EC,NIL,4299.33,6.873429905,23.26749269,26.77376179,21.72021495,51.50602326,2.243053336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,859.363,1062.53,1023.96,1116.21,1096.63,3.336666667,4.5045,11.51151667,3.5035,7.974202953,,,,,,,,,,,
H05 A2,H05,N,H05A,F49,bHR,HR EC,EC,NIL,3621.429,4.572391007,14.12788714,6.89655154,64.78071743,28.32273103,1.104787314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,1026.12,1055.42,1012.32,797.466,756.223,6.172833333,5.171833333,6.840166667,0,6.277564027,,,,,,,,,,,
H05 B1,H05,N,H05B,F49,bHR,HR EC,EC,NIL,3347.873,8.357285563,11.34917984,8.871777891,62.20288002,28.92534208,1.908269606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,831.559,887.811,805.225,1011.52,643.317,13.17985,1.334666667,10.01001667,8.341666667,13.74279225,,,,,,,,,,,
H05 B2,H05,N,H05B,F49,bHR,HR EC,EC,NIL,5137.81,11.73072038,31.43622307,10.84700257,57.61633723,31.5366602,2.644795151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,1059.36,1112.86,1402.79,1361.78,1260.38,12.84618333,6.840166667,17.88099813,12.70053873,9.501177986,,,,,,,,,,,
H05 C1,H05,N,H05C,F49,bHR,HR EC,EC,NIL,6301.38,10.65111295,29.86273987,11.81787706,60.62939482,27.55272812,1.84069629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,856.498,1143.51,1587,1737.16,1833.71,11.67835,13.01301667,7.725907556,7.712953331,14.15257423,,,,,,,,,,,
H05 C2,H05,N,H05C,F49,bHR,HR EC,EC,NIL,4674.19,10.40807495,18.24573138,21.9618348,40.04017432,37.99799088,1.539491771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,1529.81,1116.97,1135.29,1163.1,1258.83,9.024071826,6.684485283,3.347837284,6.193498975,25.40647827,,,,,,,,,,,
H05 C3,H05,N,H05C,F49,bHR,HR EC,EC,NIL,7470.34,15.45797612,6.62650544,7.29829302,63.50853724,29.19316974,1.104787983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Jan-16,,,,,,,,,,,,,,,,,,,1904.54,1843.99,1941.38,1767.54,1917.43,10.67762421,17.34186402,17.36464009,13.24614697,13.87925342,,,,,,,,,,,
H06 A1,H06,N,H06D,F49,bHR,HR EE + SD,EE,SD,3507.794,10.41581185,48.17542766,5.523936572,62.16940098,32.30666245,6.561767809,,,,,,3/1 - 6/1 2016,19,4,1,8,4,3.67,15,2,15,6,4,1.5,3.191489362,24.46808511,72.34042553,20.55555556,0.555555556,78.88888889,,,,52.11267606,1.408450704,46.47887324,10-Jan-16,,,,,,,,,,,,,,,,,,,699.829,926.128,741.155,1104.7,735.811,22.68933333,15.34868333,8.341666667,10.67735,7.295547382,,,,,,,,,,,
H06 A2,H06,N,H06D,F49,bHR,HR EE + SD,EE,SD,3561.594,13.9327659,37.89755509,5.557415279,78.07164357,16.37094115,3.781794421,,,,,,3/1 - 6/1 2016,18,4,1,7,4,5.58,14,4,5.17,5,4,5,31.81818182,2.272727273,65.90909091,2.928870293,4.184100418,92.88702929,,,,3.01369863,2.739726027,94.24657534,10-Jan-16,,,,,,,,,,,,,,,,,,,725.087,993.566,990.604,855.262,722.162,6.840166667,20.654,12.37905,11.01101667,11.68699693,,,,,,,,,,,
H06 B1,H06,N,H06E,F49,bHR,HR EE + SD,EE,SD,3184.858,7.149931486,45.56411089,6.561767809,68.22899353,25.20923866,7.764390516,,,,,,3/1 - 6/1 2016,15,4,7.95,6,4,0.87,11,2,15,19,4,4.67,3.671706263,2.375809935,93.9524838,10.60606061,25.75757576,63.63636364,,,,0.314465409,1.257861635,98.42767296,10-Jan-16,,,,,,,,,,,,,,,,,,,900.345,601.105,862.38,851.811,869.562,7.173833333,12.67935,7.340666667,3.837166667,4.742542611,,,,,,,,,,,
H06 B2,H06,N,H06E,F49,bHR,HR EE + SD,EE,SD,3562.744,12.14485284,43.25410114,7.666555123,66.22028847,26.11315641,10.34136653,,,,,,3/1 - 6/1 2016,14,4,1.33,5,2,15,18,4,11.83,18,4,15,13.08411215,4.672897196,82.24299065,0.41322314,6.714876033,92.87190083,,,,3.869047619,0.148809524,95.98214286,10-Jan-16,,,,,,,,,,,,,,,,,,,653.382,685.402,1128.4,1012.68,736.262,8.842166667,10.34368333,15.54888333,12.81281667,9.874028041,,,,,,,,,,,
H06 C1,H06,N,H06F,F49,bHR,HR EE + SD,EE,SD,3124.883,11.37237969,32.64144685,6.124497908,80.82329389,13.0522082,13.31994622,,,,,,3/1 - 6/1 2016,6,4,2.5,19,4,0.33,8,4,5.97,15,2,15,3.535353535,12.12121212,84.34343434,11.9047619,19.04761905,69.04761905,,,,4.394141145,1.864181092,93.74167776,10-Jan-16,,,,,,,,,,,,,,,,,,,700.102,745.836,1026.58,557.031,795.436,12.74608333,5.6056,11.17785,3.169833333,25.53623543,,,,,,,,,,,
H06 C2,H06,N,H06F,F49,bHR,HR EE + SD,EE,SD,3981.461,12.16049378,33.44492746,8.068295935,63.47505887,28.4566452,7.766990243,,,,,,3/1 - 6/1 2016,5,4,1.33,18,4,11.33,7,2,15,14,2,15,9.836065574,7.37704918,82.78688525,1.648351648,0,98.35164835,,,,6.802721088,0,93.19727891,10-Jan-16,,,,,,,,,,,,,,,,,,,680.03,813.057,1042.15,1229.02,897.234,20.02,11.67835,10.37705,20.98766667,5.598908456,,,,,,,,,,,
