Rat_ID,Generation,Line,"Treatment_group (EC=Enriched Cage Control, EE=Environmental Enrichment, NIL=Standard Housing, SD=Social Defeat)",InISH,Animal ID,Generation,bred line,treatment group,Gpc1_CA1,Gpc1_CA2,Gpc1_CA3,Gpc1_DG,Sdc4_CA1,Sdc4_CA2,Sdc4_CA3,Sdc4_DG,OrderInOriginalForDoubleChecking,OrderInMasterSpreadsheet
H01-2 A1,F49,bHR,HR EE,Y,H01-2 A1,F49,bHR,HR EE,0.135521277,0.1619775,0.289031579,0.132602632,0.716888462,0.777893182,0.72072766,0.7135625,37,1
H01-2 A2,F49,bHR,HR EE,Y,H01-2 A2,F49,bHR,HR EE,0.121856098,0.165236842,0.319240476,0.125147619,0.439034783,0.50982619,0.474131818,0.474186364,38,2
H01-2 B1,F49,bHR,HR EE,Y,H01-2 B1,F49,bHR,HR EE,0.098026829,0.131968293,0.263693023,0.096886047,0.626141463,0.679063415,0.647026829,0.661121951,39,3
H01-2 B2,F49,bHR,HR EE,Y,H01-2 B2,F49,bHR,HR EE,0.111502439,0.140125,0.245203125,0.11316875,0.594391489,0.601335294,0.623644118,0.624997059,40,4
H01-2 C1,F49,bHR,HR EE,Y,H01-2 C1,F49,bHR,HR EE,0.088307547,0.114281579,0.275952381,0.087147619,0.618965116,0.628242424,0.662845714,0.652582857,41,5
H02-1 C2,F49,bHR,HR EE,Y,H02-1 C2,F49,bHR,HR EE,0.108771429,0.125842076,0.244147059,0.090271875,0.64746875,0.691864865,0.669240541,0.644391892,42,6
H02-2 A1,F49,bHR,HR NIL + SD,Y,H02-2 A1,F49,bHR,HR NIL + SD,0.118788235,0.143842857,0.296835714,0.105985714,0.519636538,0.543733333,0.503555814,0.543402326,31,7
H02-2 A2,F49,bHR,HR NIL + SD,Y,H02-2 A2,F49,bHR,HR NIL + SD,0.138170588,0.176332558,0.325295745,0.144597872,0.489776923,0.484681395,0.4413875,0.482689583,32,8
H02-2 B1,F49,bHR,HR NIL + SD,Y,H02-2 B1,F49,bHR,HR NIL + SD,0.152287179,0.17203125,0.307632353,0.129826471,0.476261538,0.487696296,0.510255692,0.531892308,33,9
H02-2 B2,F49,bHR,HR NIL + SD,Y,H02-2 B2,F49,bHR,HR NIL + SD,0.108320513,0.147651724,0.275234286,0.113385714,0.644037143,0.695930769,0.64204,0.613943333,34,10
H03A1,F56,bHR,HR EE,,,,,,,,,,,,,,,11
H03A2,F56,bHR,HR EE,,,,,,,,,,,,,,,12
H03A3,F56,bHR,HR EE,,,,,,,,,,,,,,,13
H03B1,F56,bHR,HR EE + SD,,,,,,,,,,,,,,,14
H03B2,F56,bHR,HR EE + SD,,,,,,,,,,,,,,,15
H03B3,F56,bHR,HR EE + SD,,,,,,,,,,,,,,,16
H05 A1,F49,bHR,HR EC,,,,,,,,,,,,,,,17
H05 A2,F49,bHR,HR EC,,,,,,,,,,,,,,,18
H05 B1,F49,bHR,HR EC,,,,,,,,,,,,,,,19
H05 B2,F49,bHR,HR EC,,,,,,,,,,,,,,,20
H05 C1,F49,bHR,HR EC,,,,,,,,,,,,,,,21
H05 C2,F49,bHR,HR EC,,,,,,,,,,,,,,,22
H05 C3,F49,bHR,HR EC,,,,,,,,,,,,,,,23
H06 A1,F49,bHR,HR EE + SD,Y,H06 A1,F49,bHR,HR EE + SD,0.068513514,0.067503704,0.097347222,0.046931551,0.588565385,0.676280952,0.672621429,0.666238095,43,24
H06 A2,F49,bHR,HR EE + SD,Y,H06 A2,F49,bHR,HR EE + SD,0.064435897,0.110458824,0.2744775,0.0881475,0.421972093,0.605254637,0.480470588,0.502758333,44,25
H06 B1,F49,bHR,HR EE + SD,Y,H06 B1,F49,bHR,HR EE + SD,0.100228571,0.138871429,0.281180488,0.094602439,0.3617275,0.388181579,0.348083333,0.378259524,45,26
H06 B2,F49,bHR,HR EE + SD,Y,H06 B2,F49,bHR,HR EE + SD,0.101261905,0.123590323,0.242344444,0.090072222,0.728555556,0.796856098,0.798672093,0.805306977,46,27
H06 C1,F49,bHR,HR EE + SD,Y,H06 C1,F49,bHR,HR EE + SD,0.08827619,0.138007143,0.287922727,0.08595,0.623716129,0.663188889,0.688877419,0.700054839,47,28
H06 C2,F49,bHR,HR EE + SD,Y,H06 C2,F49,bHR,HR EE + SD,0.103012195,0.125219444,0.271109756,0.090260976,0.446562162,0.499457143,0.467305714,0.496622857,48,29
H06A1,F56,bHR,HR NIL + SD,Y,H06A1,F56,bHR,HR NIL + SD,0.08976,0.119047368,0.265777273,0.074995455,0.624395833,0.659389474,0.606866667,0.611104762,35,30
H06A2,F56,bHR,HR NIL + SD,,,,,,,,,,,,,,,31
H06B1,F56,bHR,HR NIL + SD,,,,,,,,,,,,,,,32
H06B2,F56,bHR,HR NIL + SD,,,,,,,,,,,,,,,33
H06B3,F56,bHR,HR NIL + SD,,,,,,,,,,,,,,,34
H07A1,F56,bHR,HR NIL,,,,,,,,,,,,,,,35
H07A2,F56,bHR,HR NIL,,,,,,,,,,,,,,,36
H07B1,F56,bHR,HR NIL,,,,,,,,,,,,,,,37
H07B2,F56,bHR,HR NIL,,,,,,,,,,,,,,,38
H09-1 A1,F49,bHR,HR NIL,Y,H09-1 A1,F49,bHR,HR NIL,0.141490566,0.180423684,0.355664286,0.132309524,0.435338636,0.45831875,0.441846875,0.46699375,25,39
H09-1 A2,F49,bHR,HR NIL,Y,H09-1 A2,F49,bHR,HR NIL,0.140947619,0.163147059,0.381440909,0.164972727,0.437352941,0.482948649,0.4292975,0.4705475,26,40
H09-1 B1,F49,bHR,HR NIL,Y,H09-1 B1,F49,bHR,HR NIL,0.08839,0.158163415,0.334174419,0.111497674,0.624686957,0.704085,0.651422727,0.6436,27,41
H09-1 B2,F49,bHR,HR NIL,Y,H09-1 B2,F49,bHR,HR NIL,0.136206383,0.177291429,0.344902632,0.128684211,0.563897674,0.601564516,0.607166667,0.577021212,28,42
H09-1 C1,F49,bHR,HR NIL,Y,H09-1 C1,F49,bHR,HR NIL,0.13991875,0.182921053,0.33947619,0.131811905,0.419065217,0.38775,0.349313889,0.413872222,29,43
H09-1 C2,F49,bHR,HR NIL,Y,H09-1 C2,F49,bHR,HR NIL,0.09942,0.124215789,0.273853659,0.09107561,0.60602449,0.644962162,0.6062675,0.568338095,30,44
H10A1,F49,bHR,HR EC + SD,,,,,,,,,,,,,,,45
H10A2,F49,bHR,HR EC + SD,,,,,,,,,,,,,,,46
H10B1,F49,bHR,HR EC + SD,,,,,,,,,,,,,,,47
H10B2,F49,bHR,HR EC + SD,,,,,,,,,,,,,,,48
H11A1,F53,bHR,HR EC + SD,,,,,,,,,,,,,,,49
H11A2,F53,bHR,HR EC + SD,,,,,,,,,,,,,,,50
H11A3,F53,bHR,HR EC + SD,,,,,,,,,,,,,,,51
H11B1,F53,bHR,HR EC,,,,,,,,,,,,,,,52
H11B2,F53,bHR,HR EC,,,,,,,,,,,,,,,53
H11B3,F53,bHR,HR EC,,,,,,,,,,,,,,,54
H12A1,F53,bHR,HR EE + SD,,,,,,,,,,,,,,,55
H12A2,F53,bHR,HR EE + SD,,,,,,,,,,,,,,,56
H12A3,F53,bHR,HR EE + SD,,,,,,,,,,,,,,,57
H12B1,F53,bHR,HR EE,,,,,,,,,,,,,,,58
H12B2,F53,bHR,HR EE,,,,,,,,,,,,,,,59
H12B3,F53,bHR,HR EE,,,,,,,,,,,,,,,60
KH H01A1,F56,bHR,HR EC,,,,,,,,,,,,,,,61
KH H01A2,F56,bHR,HR EC,,,,,,,,,,,,,,,62
KH H01A3,F56,bHR,HR EC,,,,,,,,,,,,,,,63
KH H01B1,F56,bHR,HR EC + SD,,,,,,,,,,,,,,,64
KH H01B2,F56,bHR,HR EC + SD,,,,,,,,,,,,,,,65
KH H01B3,F56,bHR,HR EC + SD,,,,,,,,,,,,,,,66
KH H05A1,F56,bHR,HR NIL,,,,,,,,,,,,,,,67
KH H05A2,F56,bHR,HR NIL,,,,,,,,,,,,,,,68
KH H05B1,F56,bHR,HR NIL + SD,Y,KH H05B1,F56,bHR,HR NIL + SD,0.122918519,0.166825,0.322754167,0.114470833,0.447356,0.423021053,0.378459091,0.456514286,36,69
KH H05B2,F56,bHR,HR NIL + SD,,,,,,,,,,,,,,,70
KH H05B3,F56,bHR,HR NIL + SD,,,,,,,,,,,,,,,71
KH L07 A1,F56,bLR,LR EE,,,,,,,,,,,,,,,72
KH L07 A2,F56,bLR,LR EE,,,,,,,,,,,,,,,73
KH L07 B1,F56,bLR,LR EE,,,,,,,,,,,,,,,74
KH L07 B2,F56,bLR,LR EE,,,,,,,,,,,,,,,75
KH L07 C1,F56,bLR,LR EE + SD,,,,,,,,,,,,,,,76
KH L07 C2,F56,bLR,LR EE + SD,,,,,,,,,,,,,,,77
KH L07 D1,F56,bLR,LR EE + SD,,,,,,,,,,,,,,,78
KH L07 D2 ,F56,bLR,LR EE + SD,,,,,,,,,,,,,,,79
KH L07 D3,F56,bLR,LR EE + SD,,,,,,,,,,,,,,,80
KH L12A1,F56,bLR,LR EC,,,,,,,,,,,,,,,81
KH L12A2,F56,bLR,LR EC,,,,,,,,,,,,,,,82
KH L12B1,F56,bLR,LR EC + SD,,,,,,,,,,,,,,,83
KH L12B2,F56,bLR,LR EC + SD,,,,,,,,,,,,,,,84
KH L12B3,F56,bLR,LR EC + SD,,,,,,,,,,,,,,,85
L02-2 A1,F49,bLR,LR EC,,,,,,,,,,,,,,,86
L02-2 A2,F49,bLR,LR EC,,,,,,,,,,,,,,,87
L02-2 B1,F49,bLR,LR EC,,,,,,,,,,,,,,,88
L02-2 B2,F49,bLR,LR EC,,,,,,,,,,,,,,,89
L02-2 C1,F49,bLR,LR EC,,,,,,,,,,,,,,,90
L02-2 C2,F49,bLR,LR EC,,,,,,,,,,,,,,,91
L07A1,F53,bLR,LR EC + SD,,,,,,,,,,,,,,,92
L07A2,F53,bLR,LR EC + SD,,,,,,,,,,,,,,,93
L07A3,F53,bLR,LR EC + SD,,,,,,,,,,,,,,,94
L07B1,F53,bLR,LR EC,,,,,,,,,,,,,,,95
L07B2,F53,bLR,LR EC,,,,,,,,,,,,,,,96
L07B3,F53,bLR,LR EC,,,,,,,,,,,,,,,97
L08 A1,F56,bLR,LR NIL + SD,Y,L08 A1,F56,bLR,LR Nil + SD,0.15074,0.186986667,0.382470588,0.146423529,0.450980952,0.45588,0.443017647,0.438917647,11,98
L08 A2,F56,bLR,LR NIL + SD,,,,,,,,,,,,,,,99
L08 B1,F56,bLR,LR NIL + SD,,,,,,,,,,,,,,,100
L08 B2,F56,bLR,LR NIL + SD,Y,L08 B2,F56,bLR,LR Nil + SD,0.160180769,0.190495238,0.363282609,0.169382609,0.386286957,0.386168421,0.371947619,0.420090476,12,101
L08 C1,F56,bLR,LR NIL + SD,,,,,,,,,,,,,,,102
L08 C2,F56,bLR,LR NIL + SD,,,,,,,,,,,,,,,103
L08 D1,F56,bLR,LR NIL + SD,,,,,,,,,,,,,,,104
L08 D2,F56,bLR,LR NIL + SD,,,,,,,,,,,,,,,105
L08-1 A1,F49,bLR,LR EE,Y,L08-1 A1,F49,bLR,LR EE,0.159798039,0.182022857,0.327460976,0.138743902,0.575492683,0.63132069,0.618144828,0.629931034,13,106
L08-1 A2,F49,bLR,LR EE,Y,L08-1 A2,F49,bLR,LR EE,0.201439024,0.252913333,0.444829412,0.187905882,0.560343333,0.628995455,0.617636364,0.612554545,14,107
L08-1 B1,F49,bLR,LR EE,Y,L08-1 B1,F49,bLR,LR EE,0.181861538,0.231727273,0.430168571,0.156325714,0.486066667,0.51703913,0.49882963,0.551348148,15,108
L08-1 B2,F49,bLR,LR EE,Y,L08-1 B2,F49,bLR,LR EE,0.15633913,0.201944118,0.3923775,0.155605,0.5388,0.58365,0.535022581,0.564646667,16,109
L08-1 C1,F49,bLR,LR EE,Y,L08-1 C1,F49,bLR,LR EE,0.116182353,0.160067857,0.3369,0.1252625,0.435834783,0.486915789,0.417456522,0.432095652,17,110
L08-1 C2,F49,bLR,LR EE,Y,L08-1 C2,F49,bLR,LR EE,0.153978378,0.21253125,0.379563889,0.155097222,0.443634615,0.461477273,0.43315,0.507933333,18,111
L08-2 A1,F49,bLR,LR EE + SD,Y,L08-2 A1,F49,bLR,LR EE + SD,0.150045652,0.187111429,0.356214634,0.146539024,0.419683333,0.451575758,0.411545946,0.43952973,19,112
L08-2 A2,F49,bLR,LR EE + SD,Y,L08-2 A2,F49,bLR,LR EE + SD,0.188042857,0.243126471,0.398708108,0.187259459,0.452571429,0.498525,0.439844444,0.460354286,20,113
L08-2 B1,F49,bLR,LR EE + SD,Y,L08-2 B1,F49,bLR,LR EE + SD,0.116308333,0.156375,0.310146341,0.1098,0.589122222,0.598472727,0.528182143,0.577055556,21,114
L08-2 B2,F49,bLR,LR EE + SD,Y,L08-2 B2,F49,bLR,LR EE + SD,0.097541935,0.141396154,0.2904875,0.09180625,0.671564865,0.735534483,0.670506061,0.717875758,22,115
L08-2 C1,F49,bLR,LR EE + SD,Y,L08-2 C1,F49,bLR,LR EE + SD,0.141046154,0.15523,0.292728571,0.118457143,0.485319174,0.672325,0.568509091,0.565718182,23,116
L08-2 C2,F49,bLR,LR EE + SD,Y,L08-2 C2,F49,bLR,LR EE + SD,0.141985294,0.210634783,0.351555556,0.151911111,0.441991892,0.477825,0.45273,0.474335484,24,117
L09 A1,F56,bLR,LR NIL,,,,,,,,,,,,,,,118
L09 A2,F56,bLR,LR NIL,Y,L09 A2,F56,bLR,LR Nil,0.183191667,0.224329412,0.403365,0.16074,0.556466667,0.559955556,0.55317,0.52232,5,119
L09 B1,F56,bLR,LR NIL,Y,L09 B1,F56,bLR,LR Nil,0.093038462,0.149025,0.284866667,0.10954,0.426946154,0.454180952,0.364514286,0.421838095,6,120
L09 B2,F56,bLR,LR NIL,,,,,,,,,,,,,,,121
L09 B3,F56,bLR,LR NIL,,,,,,,,,,,,,,,122
L09-1 A1,F49,bLR,LR NIL,Y,L09-1 A1,F49,bLR,LR Nil,0.173217073,0.200072727,0.369061111,0.140166667,0.351721951,0.424048485,0.393310526,0.390365789,1,123
L09-1 A2,F49,bLR,LR NIL,Y,L09-1 A2,F49,bLR,LR Nil,0.125846154,0.157943333,0.284968571,0.1069,0.545384091,0.565497059,0.544807895,0.559815789,2,124
L09-2 C1,F49,bLR,LR EC + SD,,,,,,,,,,,,,,,125
L09-2A1,F49,bLR,LR EC + SD,,,,,,,,,,,,,,,126
L09-2A2,F49,bLR,LR EC + SD,,,,,,,,,,,,,,,127
L09-2B1,F49,bLR,LR EC + SD,,,,,,,,,,,,,,,128
L09-2B2,F49,bLR,LR EC + SD,,,,,,,,,,,,,,,129
L10 A1,F53,bLR,LR NIL,Y,L10 A1,F53,bLR,LR Nil,0.134661538,0.21182,0.412078261,0.116865217,0.454226923,0.513468421,0.504113636,0.501654545,3,130
L10 A2,F53,bLR,LR NIL,Y,L10 A2,F53,bLR,LR Nil,0.172365385,0.210681818,0.4014,0.167145833,0.589363636,0.64149,0.571766667,0.664291667,4,131
L10 A3,F53,bLR,LR NIL,,,,,,,,,,,,,,,132
L11 A1,F53,bLR,LR EE + SD,,,,,,,,,,,,,,,133
L11 A2,F53,bLR,LR EE + SD,,,,,,,,,,,,,,,134
L11 A3,F53,bLR,LR EE + SD,,,,,,,,,,,,,,,135
L11 B1,F53,bLR,LR EE,,,,,,,,,,,,,,,136
L11 B2,F53,bLR,LR EE,,,,,,,,,,,,,,,137
